classe_ancien;Classe_ancien_value;Classe_new;Condition;valeur_condition;Attribut_ancien;Attribut_new;Attribut_supp
fme_feature_type;n_document_pprn_s_;procedure;;;ID_GASPAR;codeprocedure;
fme_feature_type;n_document_pprn_s_;procedure;;;NOM;libelleprocedure;
fme_feature_type;n_document_pprn_s_;procedure;;;;;typeprocedure
fme_feature_type;referenceinternet;referenceinternet;;;ID_GASPAR;codeprocedure;
fme_feature_type;referenceinternet;referenceinternet;;;;;nomressource
fme_feature_type;referenceinternet;referenceinternet;;;;;description
fme_feature_type;referenceinternet;referenceinternet;;;SITE_WEB;adresse;
fme_feature_type;referenceinternet;referenceinternet;;;;;typereference
fme_feature_type;n_perimetre_pprn_;perimetre;;;GEOMETRY;geom;
fme_feature_type;n_perimetre_pprn_;perimetre;;;ETAT;etatprocedure;
fme_feature_type;n_perimetre_pprn_;perimetre;;;;;idperimetre
fme_feature_type;n_perimetre_pprn_;perimetre;;;ID_GASPAR;codeprocedure;
fme_feature_type;n_perimetre_pprn_;perimetre;;;DATE;dateetat;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;ID_ZONE;idzonealea;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;;;occurence
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;CODERISQUE;typealea;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;GEOMETRY;geom;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;NIVALEA_ST;niveaualea;
fme_feature_type;n_zone_alea_pprn_;zonealeareference;;;DESCRIPTION;description;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;ID_ZONE;idzonealea;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;;;occurence
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;CODERISQUE;typealea;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;GEOMETRY;geom;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;NIVALEA_ST;niveaualea;
fme_feature_type;n_zone_alea_pprn_;zonealeareferenceechance100ans;DESCRIPT;SUBMERSION POUR UN EVENEMENT DE SUBMERSION MARINE CENTENNAL A HORIZON 2100;DESCRIPTION;description;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;ID_ZONE;idzonedanger;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;ID_GASPAR;codeprocedure;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;CODERISQUE;typealea;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;DESCRIPTION;description;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;NIVALEA_ST;niveaualea;
fme_feature_type;n_zone_alea_pprn_;zonedangerspecifique;DESCRIPT;SECTEUR SOUMIS AUX CHOCS DE VAGUES ET DE PROJECTION;;;idouvrageprotection_s
