classe_ancien;Classe_ancien_value;Attribut_ancien;Valeur_attribut_ancien;Attribut_filtre1;Valeur_Attribut_filtre1;Classe_new;Attribut_new;Valeur_attribut_new;Attribut_supp;Attribut_supp_valeur
fme_feature_type;n_document_pprn_;ID_GASPAR;;;;procedure;codeProcedure;;typeProcedure;PPRN-I
fme_feature_type;n_document_pprn_;NOM;;;;procedure;libelleProcedure;;;
fme_feature_type;referenceinternet;ID_GASPAR;;;;referenceinternet;codeProcedure;;;
fme_feature_type;referenceinternet;;;;;referenceinternet;;;nomRessoure;test_nomRessource
fme_feature_type;referenceinternet;;;;;referenceinternet;;;Description;test_description
fme_feature_type;referenceinternet;SITE_WEB;;;;referenceinternet;adresse;;;
fme_feature_type;n_perimetre_pprn_;'Geometry (MultiPolygon);;;;perimetre;geometrie;;;
fme_feature_type;n_perimetre_pprn_;;;ETAT;1;perimetre;;;etatPerimetre;PRESCRIT
fme_feature_type;n_perimetre_pprn_;;;ETAT;2;perimetre;;;etatPerimetre;APPROUVE
fme_feature_type;n_perimetre_pprn_;;;ETAT;3;perimetre;;;etatPerimetre;ABROGE
fme_feature_type;n_perimetre_pprn_;;;ETAT;4;perimetre;;;etatPerimetre;ANTICIPE
fme_feature_type;n_perimetre_pprn_;ID_GASPAR;;;;perimetre;codeProcedure;;;
fme_feature_type;n_perimetre_pprn_;DATEPRESCR;;ETAT;1;perimetre;dateEtatPerimetre;;;
fme_feature_type;n_perimetre_pprn_;DATEPRESCR;;ETAT;3;perimetre;dateEtatPerimetre;;;
fme_feature_type;n_perimetre_pprn_;DATEAPPRO;;ETAT;2;perimetre;dateEtatPerimetre;;;
fme_feature_type;n_perimetre_pprn_;DATEAPPRO;;ETAT;4;perimetre;dateEtatPerimetre;;;
fme_feature_type;n_zone_alea_pprn_;ID_GASPAR;;;;zonealea;codeProcedure;;;
fme_feature_type;n_zone_alea_pprn_;CODERISQUE;;;;zonealea;typeAlea;;;
fme_feature_type;n_zone_alea_pprn_;'Geometry (MultiPolygon);;;;zonealea;geometrie;;;
fme_feature_type;n_zone_alea_pprn_;NIVALEA_ST;;;;zonealea;niveauAlea;;;
fme_feature_type;n_zone_alea_pprn_;DESCRIPT;;;;zonealea;description;;;
