"Dictionnaire Geostandards Risques",,,,,,,,,
"- Les tables commençant dont le nom commencent par ""Type"" sont des tables décrivant les types énumérés (""code"", ""libellé"").
- Les attributs indiqués en gras constituent la clef primaire de la table (plusieurs attributs peuvent être mobilisés)
",,,,,,,,,
,,,,,,,,,
Procedure,"La classe ""Procedure"" permet de faire le lien entre un jeu de données du Standard et le système GASPAR. Un objet de cette classe correspond à une procédure unique identifiée dans GASPAR.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
codeProcedure,CharacterString,"identifiant de la procédure dans GASPAR",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
libelleProcedure,CharacterString,"description de textuelle de la procédure (cf. Libellé procédure dans GASPAR)","PPRL-Baie Bourgneuf Nord",n_document_pprn_s_xxx,NOM,,,,
typeProcedure,"TypeProcedure (characterString)","Type de procédure (selon les modèles identifiés dans GASPAR)",PPRN-L,N/A,N/A,,,,
,,,,,,,,,
,,,,,,,,,
ReferenceInternet," La classe ReferenceInternet permet de décrire des ressources accessibles sur internet, qu'il sagisse d'une page html, d'une arborescence d'un site web ou de documents téléchargeables. Un objet de cette classe représente un telle ressource, caractérisée de manière unique par son adresse sur internet (URL).",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
codeProcedure,CharacterString,"Lien vers la table Procédure",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
adresse,CharacterString,"url d'accès à la ressource","https://www.loire-atlantique.gouv.fr/Politiques-publiques/Risques-naturels-et-technologiques/Prevention-des-risques-naturels/Plans-Prevention-Risques-Naturels-Previsibles/Les-Plans-de-Prevention-des-Risques-Littoraux-en-Loire-Atlantique/Le-PPRL-Baie-de-Bourgneuf-Nord ",n_document_pprn_x_xxx,site_web,,,,
nomRessource,CharacterString,"nom de la ressource","Le PPRL Baie de Bourgneuf Nord ",N/A,N/A,,,,
description,CharacterString,"description de la ressource","Page web d'accès au dossier du PPRL sur le site de la préfecture de la Loire Atlantique",N/A,N/A,,,,
typeReference,CharacterString,"Indique le type de document auquel on fait référence","Réglement signé",N/A,N/A,,,,
,,,,,,,,,
Perimetre,"La classe Perimetre permet de décrire l'état d'avancement d'une procédure sur une zone géographique donnée. Pour une même procédure donnée à un instant donné, plusieurs périmètres peuvent exister dans des états d'avancement différents.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
codeProcedure,CharacterString,"Lien vers la table Procédure",44DDTM20110017,n_document_pprn_x_xxx,ID_GASPAR,,,,
etatProcedure,"TypeEtatProcedure (CharacterString)","Etat d'avancement de la procédure sur le périmètre",APPROUVE,n_document_pprn_s_xxx,"APPROUVE si etat= ""Approuvé"" (02)
PRECRIT si etat=""Prescrit"" (01)
ABROGE si etat =""Abrogé"" (03)
ANTICIPE si etat = ""Anticipe"" (04)",,,,
dateEtatPerimetre,Date,"Date du début de l'état de la procédure sur le périmètre",42564,n_document_pprn_x_xxx,"DateAppro (si Approuvé) ; DatePrescrit (si Prescrit)",,,,
geometrie,"Geometry (MultiPolygon)","Géométrie du Périmètre",N/A,n_perimetre_pprn_xxxx_x_xxx,Geometry,,,,
,,,,,,,,,
,,,,,,,,,
ZoneAlea,"La classe Zone d'aléa permet de décrire des zones géographiques soumises à des aléas et d'en préciser le type d'aléa, son niveau, et sa probabilité d'occurence.",,,,,,,,
ZoneAleaReference,"a classe Zone d'aléa de référence permet de décrire des zones géographiques soumises à des aléas de type naturels déterminéés à partir de l'aléa de référence et d'en préciser le type d'aléa, son niveau, et sa probabilité d'occurence. Elle a les mêmes propriétés de que la classe ZoneAlea.",,,,,,,,
ZoneAleaEcheance100ans,"La classe Zone d'aléa à échéance 100 ans permet de décrire des zones géographiques soumises à des aléas de type naturels déterminéés à partir de l'aléa à échéance 100 ans et d'en préciser le type d'aléa, son niveau, et sa probabilité d'occurence. Elle a les mêmes propriétés de que la classe ZoneAlea.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
idZoneAlea,CharacterString,"Identifiant de la zone alea",RNATA000000000607190,n_zone_alea_pprn_x_xxx,id_zone,,,,
codeProcedure,CharacterString,"Identifiant de la procédure dans GASPAR",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
typeAlea,"TypeAlea (CharacterString)","Type de l'aléa selon la nomenclature GASPAR",112,n_zone_alea_pprn_x_xxx,coderisque,,,,
niveauAlea,"TypeNiveauAlea (CharacterString )","Niveau d'aléa",01,n_zone_alea_pprn_x_xxx,nivalea_st,,,,
description,CharacterString,"Description de l'aléa",N/A,n_zone_alea_pprn_x_xxx,descript,,,,
occurence,CharacterString,"ce champ permet d'indiquer l'occurence de survenue de l'aléa. Selon son type, il pourra s'agir d'une probabilité (par exemple période de retour) ou d'un autre indicateur à définir dans les profils applicatifs.",Q100,N/A,N/A,,,,
geometrie,"Geometry (MultiPolygon)","Multipolygone mais restreint à la géométrie la plus élémentaire de l'aléa",N/A,n_zone_alea_pprn_x_xxx,geom,,,,
,,,,,,,,,
,,,,,,,,,
ZoneProtégée,"La classe Zone Protégée permet de décrire les zones protégées par un ouvrage de protection (OuvrageProtection) lorsque le niveau de protection de ce dernier est au moins égal à l'aléa de référence. Ces zones sont superposables aux zones d'aléas. Elles sont caractérisées par le type d'aléa (TypeAlea), un niveau de protection et une période de retour relatifs à l'ouvrage de protection.",,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
idZoneProtégée,CharacterString,"Identifiant de la zone alea protégée",,,,,,,
codeProcedure,CharacterString,"Identifiant de la procédure dans GASPAR",44DDTM20110017,n_document_pprn_s_xxx,ID_GASPAR,,,,
typeAlea,"TypeAlea (CharacterString)","Type de l'aléa selon la nomenclature GASPAR",112,n_zone_alea_pprn_x_xxx,coderisque,,,,
occurence,CharacterString,"ce champ permet d'indiquer l'occurence de survenue de l'aléa. Selon son type, il pourra s'agir d'une probabilité (par exemple période de retour) ou d'un autre indicateur à définir dans les profils applicatifs (la période de retour est conditionnée à la hauteur du niveau de protection).",Q100,N/A,N/A,,,,
description,CharacterString,"Description de l'aléa",N/A,n_zone_alea_pprn_x_xxx,descript,,,,
niveauProtection,CharacterString,"(Article Article R214-119-1 code de l'environnement) Pour un système d'endiguement au sens de l'article R. 562-13, le niveau de protection d'une zone exposée au risque d'inondation ou de submersion marine est déterminé par la hauteur maximale que peut atteindre l'eau sans que cette zone soit inondée en raison du débordement, du contournement ou de la rupture des ouvrages de protection quand l'inondation provient directement du cours d'eau ou de la mer. Lorsque la taille et les caractéristiques de la zone exposée le justifient, plusieurs niveaux de protection peuvent être déterminés, chacun étant associé à une partie délimitée de la zone protégée.",,,,,,,
geometrie,"Geometry (MultiPolygon)","Multipolygone mais restreint à la géométrie la plus élémentaire de l'aléa",N/A,n_zone_alea_pprn_x_xxx,geom,,,,
,,,,,,,,,
,,,,,,,,,
ZoneDangerSpecifique,"La classe Zone de danger spécifique permet de représenter des zones de danger particulières superposables aux zones d'aléas. Ces zones de danger particulières peuvent être de deux types : les bandes de précaution à l'arrière des systèmes d'endiguement et les bandes particulières liées aux chocs mécaniques des vagues et projection des matériaux telles que définies dans le Decret PPRI:2019 et le Guide PPRL:2014. Elles sont aussi caractérisées par le type d'aléa (TypeAlea) et son niveau (TypeNiveauAlea) et rattachées à une procédure donnée. Elles peuvent être aussi liées à un ouvrage de protection (OuvrageProtection), notamment lorsqu'il sagit d'une bande de protection.",,,,,,,,
,,,,,,,,,
,,,,,,,,,
NomAttribut,Type,Description,"exemple de valeur","Classe ancien PPRN","Attribut ancien PPRN","Classe ancien DI","Attribut ancien DI",,
